# pgrdf.surface() manifest — authored classification of every export.
# Columns: name(identity_args) <TAB> class <TAB> note
# Classes: stable (contract; removal/signature change = breaking release)
#          internal (reachable but not API; no compatibility promise)
#          spike (development measurement harness; may vanish without notice)
#          deprecated (superseded; the note names the replacement)
# Notes are CONSUMER-FACING: they describe what the function is and how to
# use it well, in words that stand alone. A completeness test enforces this
# file covers every extension-owned function in both directions.
materialize(graph_id bigint, profile text)	stable	OWL 2 RL ('owl-rl') or RDFS ('rdfs') forward-chaining entailment; wipes and rewrites the graph's inferred rows; unknown profile refuses (22023)
move_graph(src bigint, dst bigint)	stable	move src into an EMPTY dst and drop src; non-empty dst refuses (55000)
move_graph(src_iri text, dst_iri text)	stable	move by IRI; same empty-destination requirement
orphan_partitions()	stable	quad partitions with no registered graph — invisible to SPARQL and to graph-level export/digest; a non-empty result deserves investigation. Since 0.6.34
parse_nquads(content text, default_graph_id bigint, strict boolean)	stable	parse N-Quads text; quads without a graph label land in default_graph_id
parse_trig(content text, default_graph_id bigint, strict boolean)	stable	parse TriG text; triples outside named graphs land in default_graph_id
parse_turtle(content text, graph_id bigint, base_iri text)	stable	parse Turtle text into a graph; returns the triple count
parse_turtle_dict_batched(content text, graph_id bigint, base_iri text, dict_batch_size integer)	internal	tuning variant of parse_turtle with explicit dictionary batching; use parse_turtle
parse_turtle_verbose(content text, graph_id bigint, base_iri text)	stable	parse_turtle returning a JSONB report instead of a bare count
plan_cache_clear()	internal	drop this backend's prepared-plan cache; a diagnostic, not part of any workflow
put_construct_row("row" jsonb, graph_id bigint)	internal	ingest one CONSTRUCT-shaped JSONB row; the round-trip partner of construct()
put_construct_rows(rows jsonb[], graph_id bigint)	internal	ingest CONSTRUCT-shaped JSONB rows in bulk; the round-trip partner of construct()
put_quad(s bigint, p bigint, o bigint, g bigint)	internal	raw quad insert by dictionary ids; bypasses parsing and per-statement bookkeeping
put_term(value text, term_type smallint)	internal	raw dictionary insert; returns the term id
shmem_cache_prewarm("limit" bigint)	internal	warm the shared term cache from the dictionary after a restart or shmem_reset
shmem_reset()	stable	invalidate the shared term cache (bumps its generation). Needed after DROP/CREATE EXTENSION in a live cluster. The historic use — clearing subtransaction-abort poisoning — is fixed since 0.6.33 and no longer requires this
sparql(query text)	stable	SPARQL SELECT/ASK and UPDATE; rows are JSONB bindings. Pair with last_call_stats() for per-call completeness; no GRAPH clause means the union of all graphs
sparql_parse(query text)	stable	parse-only dry run: the algebra, or what the engine cannot run, without executing
sparql_sql(query text)	stable	translation dry run: the SQL a query would execute
spike_ta10_logged_flat(triple_count integer, batch_size integer)	spike	synthetic ingest benchmark (flat table variant); measurement harness, not API
spike_ta10_logged_indexed(triple_count integer, batch_size integer)	spike	synthetic ingest benchmark (indexed variant); measurement harness, not API
spike_ta10_logged_partitioned(triple_count integer, batch_size integer)	spike	synthetic ingest benchmark (partitioned variant); measurement harness, not API
spike_ta11_batch_sweep(triple_count integer, batch_size integer)	spike	synthetic ingest benchmark sweeping batch sizes; measurement harness, not API
stats()	stable	instance-wide health counters (caches, truncations, filter refusals). Cumulative and global — never a per-call verdict; use last_call_stats() for that
structural_digest(graph_id bigint)	stable	first-degree structural pin, method pgrdf-fd1-sha256 — the cross-implementation interop digest. Unequal values PROVE difference; equal values are evidence, not proof. Use graph_digest for conclusive identity; the two methods' values are never comparable. Absent graph refuses (42704). Since 0.6.34
surface()	stable	this listing: every export with its stability class. Ask the engine what it supports instead of probing function existence. Since 0.6.34
unlock_graph(graph_id bigint, reason text)	stable	release a graph lock with a mandatory reason — the cure the lock refusal names. Unlocking an unlocked graph refuses (55000). Since 0.6.28
validate(data_graph_id bigint, shapes_graph_id bigint, mode text, strict boolean)	stable	SHACL validation report (modes: native, sparql, pgrdf). The report payload shape is frozen — tooling may rely on it
version()	stable	extension version; with build_id() and pg_extension.extversion forms the identity triple a healthy deployment shows as three equal values
